Référence Article;Désignation Article;Qté Stock Réel;CMUP Unitaire;Montant Stock (CMUP)
653106;" KIT ERS FEP 2""/3""        ";1;368,58;369
65600;COUVERCLE;3;258,26;775
65712;HUILEUR;9;166;1 494
6591;STATOR J2T;4; 1 403,07;5 612
66441;ECROUS;6;408,65;2 452
66590;PLATEAU SUIVEUR;4;362,96;1 452
666053-0D2;POMPE A DIAPHRAGME;4; 5 786,245;23 145
666053-388;" POMPE A MEMBRANE 1/2""    ";0;0;0
66605J-344;POMPE A MEMBRANES 1/2;10; 3 729,845;37 298
66605J-3EB;" POMPE A MEMBRANE 1/2""    ";0;0;0
66605K-444;POMPE A MEMBRANE EN PVDF;1; 5 932,22;5 932
666120-322-C;"POMPE A MEMBRANE 1""";5; 4 561,226;22 806
666120-344-C;POMPE A MEMBRANE;15; 5 992,2893;89 884
6661A3-344C;" POMPE A MEMBRANE 1"" PTFE ";6; 7 341,905;44 051
6661A3-3EBC;POMPE A MEMBRANE CORPS POLYPRO 1'';2; 4 122,685;8 245
666270-144-C;" POMPE A MEMBRANE 2""      ";6; 11 806,8817;70 841
666270144CPR;" POMPE 2"" (PROMO)         ";2;6;12
666270-EEB-C;"POMPE A MEMBRANE 2""";4; 8 577,845;34 311
666270EEBCPR;"POMPE A MEMBRANE 2"" CORPS EN ALU MEMBRANES EN SANTOPRENE";-1;0;0
666320-144-C;POMPE A MEMBRANE 3'';1; 23 916,5;23 917
666320-EEB-C;" POMPE A MEMBRANE 3""      ";3; 9 674,0567;29 022
6665;JOINT TEFLON;1;812,4;812
66663;ARTICULATION TRIPLE MF1/4;86;125,61;10 802
66888;PISTOLET A GAISSE;42;276,09;11 596
66889;PISTOLET A GRAISSE+3RACC.;4;243,65;975
67053840130A;SOLENOID NC BR VI220 CE;1; 12 288,85;12 289
670538-408;KIT ELECTROVANNE NO;0;0;0
670539401;KIT ELECTROVANNE;1; 7 631,55;7 632
670539-409;KIT ELECTROVANNE;0;0;0
6758;KIT PR PISTOLET 636101;4;920,15;3 681
6790026N;AXE DE BIELLE PR 13I10;2;146,205;292
6797;SIEGE DE CLAPET;-2;0;0
699-11411001;ELECTROVANNE 3 VOIES SHPJJ 1/4 HUILE ADF220V;0;0;0
6RLB-360;POCHETTE JOINT 3-6-8-12;6;263,54;1 581
6X10-38-SG;RACCORD DROIT SS3/8 NPSF;-8;55,84;-447
6X10-38-SS;RACCORD DROIT SS 3/8 NPSF;-8;55,84;-447
6X8-38-SS;CONNECTOR 3/8NPS(F);1;268,77;269
7000-1;FLACON D'HUILE;5;6,91;35
7000-114-K2;KIT DE 2 COUPES CONSISTOMETRIQUES REF. 7000.114.K2;1;84,43;84
7010010142;" JOINT PR BRAS 4""         ";10;21,1;211
7010010149;" JOINT HEAVY BRAS 4""      ";1;24,97;25
7010010201;JOINTS;1;218,59;219
7010010217;JOINT D'AXE DE CDE;4;56,36;225
7010010223;JOINT;2;70,58;141
7010010241;" JOINT P COUDE TOURNANT 3""";4;111,41;446
7010030102;" JOIN ""I"" PERBUNAN        ";5;39,78;199
7010030153;JOINT TORIQUE GPL;1;205;205
7010030215;" JOINT HEAVY BRAS 3""      ";6;189,99;1 140
7010030268;JOINT;3;255,95;768
7012315404;RAC.SYM.FEMEL ALU 65;44;111,19;4 892
7012315406;" RACC.SYM.F.DN80 3""       ";16;125,9013;2 014
7012325401;" JCT DBL SYM ""RSD/A"" 50X65";1;342,07;342
7012325412;JCT.DBLE SYM RSD/A APM80;3;774,6;2 324
7012325419;JONCTION SYM ALU 2X11/2;9;234,85;2 114
7012335402;BOUCHON SYM DN 65;8;125,33;1 003
7012335404;BOUCHON SYM ALU 80;8;448,9725;3 592
7012500008;" FLEXIBLE INOX 1/2""M/MGAZ ";1; 2 189,04;2 189
7013142032;CIRCLIPS;9;65,31;588
7013142033;" CIRCLIPS CHEMISE 3""      ";3;29,93;90
7013152010;CIRCLIPS /AXE LEVIER FIAB;1;83,65;84
7013414303;" SEGMENT FIAB 3""          ";5;107,76;539
7013414304;" SEGMENT FIAB 4""          ";5;120,6;603
7017070037;CABLES NUS 2,5MMý;18;43,54;784
70834;JOINT EN CUIVRE;5;338,13;1 691
70837;JOINTS;9;26,26;236
71111;PISTON POUR 636103;4;139,1;556
71139;KIT PR PISTOLET;4;395,03;1 580
71524-1;RONDELLE PLATE;9;149,8256;1 348
71524-SE;ENGRENAGE ASSEMBLAGE;1; 1 362,06;1 362
7154;STATOR J2L2;3; 1 765,58;5 297
72021;JOINTS;11;20,03;220
72061;JOINTS;16;39,06;625
72364;BOUCHONS;12;43,47;522
72365;CHAPEAUX;3;399,64;1 199
72366;JOINTS;27;6,11;165
72367;TIROIR;20;65,27;1 305
72368;SPOOL;2;483,8;968
72369;VIS;6;83,47;501
72372;GLACE;14;234,88;3 288
72377;JOINTS;185;8,14;1 506
72378;CLAPET/FILTRE;7;52,37;367
72379;JOINTS;23;18,77;432
72387;ECROU/CLAPET;8;113,69;910
72392;RONDELLES;2;119,58;239
72394;AXES;2;200;400
72401;TIGE DE PISTON;5;107,26;536
72406;PISTON;6;343,02;2 058
72413;RACCORD;4;297;1 188
72685;GARNITURE;26;65,3;1 698
73284;TIGE DE CDE;5;240,48;1 202
73285;RESSORTS;27;19,01;513
73402;RESSORTS;25;25,64;641
73869;BILLES;24;12,7;305
73986;RONDELLE PLATE;6;191,99;1 152
7472;EQUILIBREUR;1;432,66;433
7480062;RONDELLE;11;1,73;19
7480063;RONDELLE;13;2,16;28
7480081;RONDELLE;13;2,16;28
7480082;RONDELLE;13;2,16;28
7480083;RONDELLE;13;2,16;28
7480084;RONDELLE;13;2,16;28
76705;RONDELLES;5;82,59;413
77042;RONDELLES;6;20,06;120
77204-1564;STATOR 100I10;0;0;0
77243;SPACER;5;88,19;441
7733716408;STATOR;1; 4 018,65;4 019
7733716410;STATOR;2; 1 206,53;2 413
77777251-6;STATOR POUR 1000J50;24; 2 327,1133;55 851
77777251-7;STATOR PR J2TSC;1; 2 130,82;2 131
77884;PISTON;2;204,49;409
77885;RONDELLES;8;58,19;466
77886;RONDELLES;3;64,6;194
77887;PISTONS;11;621,21;6 833
77890;ECROUS;3;11;33
77893;SIEGES;12;64,61;775
77894;PISTONS;6;188,8;1 133
77951;DEMI-RONDELLE;17;60,99;1 037
77953;RONDELLES;18;25,04;451
77954;JOINTS POUR CHAPEAUX;19;91,91;1 746
79104;JOINTS;8;1,58;13
7G15U1000RVFV;CABLE ELECTRIQUE;100;22,28;2 228
7K67;PILE POINGET DIGITAL 1.5V;6;25;150
